,Date,Open,High,Low,Close,Adj Close,Volume,rsi,crossAbove30,lookback10
47,2/20/1981,0.43526800000000004,0.43526800000000004,0.433036,0.433036,0.343926,6092800,48.09810149108803,0,0
48,2/23/1981,0.43973199999999996,0.441964,0.43973199999999996,0.43973199999999996,0.349244,3528000,47.315821503592204,0,0
49,2/24/1981,0.428571,0.428571,0.42410699999999996,0.42410699999999996,0.336834,4244800,46.94621934490265,0,0
50,2/25/1981,0.45089300000000004,0.453125,0.45089300000000004,0.45089300000000004,0.358108,4872000,49.314052079854484,0,0
51,2/26/1981,0.457589,0.459821,0.457589,0.457589,0.363427,2710400,48.42728706109256,0,0
52,2/27/1981,0.473214,0.477679,0.473214,0.473214,0.375836,3690400,48.81534308618644,0,0
53,3/2/1981,0.475446,0.477679,0.475446,0.475446,0.37760900000000003,2940000,47.28202545078643,0,0
54,3/3/1981,0.47098199999999996,0.47098199999999996,0.46875,0.46875,0.372291,4043200,48.240801898162694,0,0
55,3/4/1981,0.46651800000000004,0.46651800000000004,0.464286,0.464286,0.368745,3427200,49.46260172906962,0,0
56,3/5/1981,0.464286,0.464286,0.462054,0.462054,0.36697199999999996,1344000,50.97910762150503,0,0
57,3/6/1981,0.462054,0.462054,0.457589,0.457589,0.363427,2900800,52.11867645134525,0,0
58,3/9/1981,0.42410699999999996,0.42410699999999996,0.421875,0.421875,0.33506199999999997,3830400,48.50869690398849,0,0
59,3/10/1981,0.404018,0.404018,0.40178600000000003,0.40178600000000003,0.319106,7095200,47.3299847026993,0,0
60,3/11/1981,0.390625,0.390625,0.38616100000000003,0.38616100000000003,0.306697,7464800,46.79073412387564,0,0
61,3/12/1981,0.40178600000000003,0.404018,0.40178600000000003,0.40178600000000003,0.319106,14812000,47.68686227452422,0,0
62,3/13/1981,0.399554,0.399554,0.397321,0.397321,0.31556100000000004,57825600,48.8454864372675,0,0
63,3/16/1981,0.412946,0.417411,0.412946,0.412946,0.32797,9307200,49.58102766413964,0,0
64,3/17/1981,0.433036,0.4375,0.433036,0.433036,0.343926,10936800,50.806859410286364,0,0
65,3/18/1981,0.459821,0.464286,0.459821,0.459821,0.365199,9234400,52.63292174147821,0,0
66,3/19/1981,0.457589,0.457589,0.45535699999999996,0.45535699999999996,0.361654,9452800,53.845755381005226,0,0
67,3/20/1981,0.459821,0.464286,0.459821,0.459821,0.365199,3651200,52.575839288334556,0,0
68,3/23/1981,0.477679,0.48214300000000004,0.477679,0.477679,0.379382,5504800,53.04581865796526,0,0
69,3/24/1981,0.477679,0.477679,0.475446,0.475446,0.37760900000000003,7039200,54.56669332775266,0,0
70,3/25/1981,0.47098199999999996,0.47098199999999996,0.46651800000000004,0.46651800000000004,0.37051799999999996,1764000,55.063858348504496,0,0
71,3/26/1981,0.459821,0.459821,0.457589,0.457589,0.363427,3068800,55.50836846074308,0,0
72,3/27/1981,0.444196,0.444196,0.441964,0.441964,0.351017,3063200,54.87464485107121,0,0
73,3/30/1981,0.441964,0.446429,0.441964,0.441964,0.351017,2475200,54.87464485107121,0,0
74,3/31/1981,0.441964,0.441964,0.4375,0.4375,0.34747100000000003,3998400,55.969436089868594,0,0
75,4/1/1981,0.43526800000000004,0.43526800000000004,0.433036,0.433036,0.343926,8517600,57.01843243724954,0,0
76,4/2/1981,0.47098199999999996,0.473214,0.47098199999999996,0.47098199999999996,0.374064,7851200,59.960816008603985,0,0
77,4/3/1981,0.473214,0.475446,0.473214,0.473214,0.375836,4121600,58.41910129477795,0,0
78,4/6/1981,0.46651800000000004,0.46651800000000004,0.464286,0.464286,0.368745,5700800,58.7664480458431,0,0
79,4/7/1981,0.462054,0.462054,0.459821,0.459821,0.365199,2671200,59.79826619050093,0,0
80,4/8/1981,0.48214300000000004,0.48660699999999996,0.48214300000000004,0.48214300000000004,0.38292800000000005,5488000,60.58439379565217,0,0
81,4/9/1981,0.491071,0.493304,0.491071,0.491071,0.390019,3124800,59.7865062661351,0,0
82,4/10/1981,0.49776800000000004,0.5,0.49776800000000004,0.49776800000000004,0.395337,8366400,58.75112871015129,0,0
83,4/13/1981,0.49776800000000004,0.5,0.49776800000000004,0.49776800000000004,0.395337,4015200,58.75112871015129,0,0
84,4/14/1981,0.49776800000000004,0.5,0.49776800000000004,0.49776800000000004,0.395337,1663200,58.75112871015129,0,0
85,4/15/1981,0.475446,0.475446,0.473214,0.473214,0.375836,8512000,56.717193323757044,0,0
86,4/16/1981,0.448661,0.448661,0.446429,0.446429,0.354562,5969600,54.459837288006625,0,0
87,4/20/1981,0.459821,0.462054,0.459821,0.459821,0.365199,8836800,54.365270066850016,0,0
88,4/21/1981,0.491071,0.493304,0.491071,0.491071,0.390019,7134400,56.3207993922885,0,0
89,4/22/1981,0.508929,0.511161,0.508929,0.508929,0.40420100000000003,4748800,56.433381508884615,0,0
